price	locate	disk	cpu	ip	memory	band
45.79	BUFFALO, NY	15	4	1	2944	2500
15.40	DALLAS, TX	15	1	1	1792	1500
37.40	CHICAGO, IL	30	3	1	2304	2000
37.40	CHICAGO, IL	30	3	1	2304	2000
13.50	DALLAS, TX	35	1	1	896	500
11.87	LOS ANGELES, CA	10	1	1	1152	1000
29.87	PISCATAWAY, NJ	15	2	1	5376	5000
18.22	BUFFALO, NY	15	1	1	2688	2500
33.82	SEATTLE, WA	15	3	1	1920	1500
27.24	LOS ANGELES, CA	30	2	1	1792	1500
27.24	LOS ANGELES, CA	30	2	1	1792	1500
68.74	SEATTLE, WA	85	4	1	6272	6000
68.74	SEATTLE, WA	85	4	1	6272	6000
41.85	BUFFALO, NY	30	4	1	3584	2500
27.44	LOS ANGELES, CA	15	2	1	2304	2000
36.65	BUFFALO, NY	15	3	1	2560	2500
39.48	LOS ANGELES, CA	10	3	1	7168	7000
64.76	LOS ANGELES, CA	105	4	1	7040	6500
64.76	LOS ANGELES, CA	105	4	1	7040	6500
51.93	SEATTLE, WA	45	4	1	2816	1500
24.63	BUFFALO, NY	15	2	1	1408	1000
48.58	LOS ANGELES, CA	20	4	1	2304	1500
48.58	LOS ANGELES, CA	20	4	1	2304	1500
14.26	CHICAGO, IL	25	1	1	512	500
8.92	SEATTLE, WA	15	1	1	512	250
120.00	Los Angeles, CA	150	6	1	14336	5000
120.00	Los Angeles, CA	150	6	1	14336	5000
36.00	Los Angeles, CA	55	2	1	3072	3500
47.89	Los Angeles, CA	50	4	1	6144	4000
8.62	San Jose, CA	10	1	1	384	250
5.32	Buffalo, NY	5	1	1	512	1000
5.31	Buffalo, NY	5	1	1	384	500
5.30	Buffalo, NY	5	1	1	256	1000
5.29	Buffalo, NY	5	1	1	256	250
65.00	Los Angeles, CA	110	4	1	7168	7000
23.52	Buffalo, NY	10	4	1	8192	4000
38.70	Buffalo, NY	110	8	1	13568	3000
20.39	Buffalo, NY	80	8	1	2560	3000
13.99	Los Angeles, CA	30	4	1	1664	30
33.33	Buffalo, NY	35	6	3	6144	3000
33.33	Buffalo, NY	35	6	3	6144	3000
15.89	BUFFALO, NY	10	1	1	1024	1000
32.17	PISCATAWAY, NJ	30	4	1	2944	2000
32.17	PISCATAWAY, NJ	30	4	1	2944	2000
33.44	PISCATAWAY, NJ	55	2	1	2048	1500
33.44	PISCATAWAY, NJ	55	2	1	2048	1500
43.36	SEATTLE, WA	35	4	1	2304	1500
43.36	SEATTLE, WA	35	4	1	2304	1500
21.46	BUFFALO, NY	15	2	1	1280	500
29.18	ATLANTA, GA	15	3	1	1536	1000
32.00	Buffalo, NY	55	2	1	2048	1500
55.36	LOS ANGELES, CA	60	4	1	3840	3500
46.59	DALLAS, TX	15	4	1	2304	2000
46.08	SEATTLE, WA	35	4	1	3200	3000
21.46	BUFFALO, NY	15	2	1	1408	500
60.05	SEATTLE, WA	130	4	1	6272	4000
26.49	BUFFALO, NY	10	3	1	4352	4000
9.98	BUFFALO, NY	10	1	1	896	1000
21.46	BUFFALO, NY	15	2	1	1408	1000
31.90	LOS ANGELES, CA	15	3	1	2432	2000
33.91	LOS ANGELES, CA	15	3	1	1536	1500
28.96	BUFFALO, NY	15	2	1	2944	2500
29.00	LOS ANGELES, CA	30	2	1	1664	1500
7.68	Buffalo, NY	5	1	1	768	1000
8.21	Piscataway, NJ	15	1	1	768	500
7.68	Piscataway, NJ	10	1	1	512	250
17.26	PISCATAWAY, NJ	10	1	1	2048	1000
21.46	BUFFALO, NY	15	2	1	1408	500
18.67	DALLAS, TX	40	1	1	1152	500
18.67	DALLAS, TX	40	1	1	1152	500
36.90	DALLAS, TX	15	4	1	1536	1000
24.18	CHICAGO, IL	15	2	1	2432	2000
28.33	BUFFALO, NY	10	2	1	2176	2000
45.00	Seattle, WA	100	4	1	8192	5000
30.00	Atlanta, GA	50	2	1	2048	1000
8.95	Buffalo, NY	15	2	1	1024	500
43.05	BUFFALO, NY	30	4	1	6656	5000
25.04	CHICAGO, IL	15	2	1	1664	1500
32.17	PISCATAWAY, NJ	30	4	1	3072	2000
21.46	BUFFALO, NY	15	2	1	1920	1000
28.33	SEATTLE, WA	10	2	1	2688	2500
